SampleID	Code	Treatment	Clone	Replicate	NumberofGuts	Seperation
23152D-01-174	G1A; 15	G	1	A	15	G1
23152D-01-175	G1C; 14	G	1	C	14	G1
23152D-01-176	G2A; 12	G	2	A	12	G2
23152D-01-177	G2B; 11	G	2	B	11	G2
23152D-01-178	G3A; 6	G	3	A	6	G3
23152D-01-179	G3B; 11	G	3	B	11	G3
23152D-01-180	G4A; 13	G	4	A	13	G4
23152D-01-181	G4B; 11	G	4	B	11	G4
23152D-01-182	G9A; 12	G	9	A	12	G9
23152D-01-183	G9B; 13	G	9	B	13	G9
23152D-01-184	G11A; 10	G	11	A	10	G11
23152D-01-185	G11B; 14	G	11	B	14	G11
23152D-01-186	G12A; 10	G	12	A	10	G12
23152D-01-187	G12C; 11	G	12	C	11	G12
23152D-01-188	G13B; 7	G	13	B	7	G13
23152D-01-189	G13C; 12	G	13	C	12	G13
23152D-01-190	G14A; 13	G	14	A	13	G14
23152D-01-191	G14B; 10	G	14	B	10	G14
23152D-01-192	G16A; 12	G	16	A	12	G16
23152D-01-193	G16B; 9	G	16	B	9	G16
23152D-01-194	G17A; 13	G	17	A	13	G17
23152D-01-195	G17B; 14	G	17	B	14	G17
23152D-01-196	G18A; 14	G	18	A	14	G18
23152D-01-197	G18C; 15	G	18	C	15	G18
23152D-01-198	G19A; 13	G	19	A	13	G19
23152D-01-199	G19B; 7	G	19	B	7	G19
23152D-01-200	G20A; 13	G	20	A	13	G20
23152D-01-201	G20B; 11	G	20	B	11	G20
23152D-01-202	G21B; 12	G	21	B	12	G21
23152D-01-203	G21C; 14	G	21	C	14	G21
23152D-01-204	G24B; 8	G	24	B	8	G24
23152D-01-205	G24C; 14	G	24	C	14	G24
23152D-01-206	G25A; 14	G	25	A	14	G25
23152D-01-207	G25B; 14	G	25	B	14	G25
23152D-01-208	G26A; 14	G	26	A	14	G26
23152D-01-209	G26B; 12	G	26	B	12	G26
23152D-01-210	G27B; 9	G	27	B	9	G27
23152D-01-211	G27C; 7	G	27	C	7	G27
23152D-01-212	G28B; 15	G	28	B	15	G28
23152D-01-213	G28C; 13	G	28	C	13	G28
23152D-01-214	C1B; 13	C	1	B	13	C1
23152D-01-215	C1C; 9	C	1	C	9	C1
23152D-01-216	C2B; 8	C	2	B	8	C2
23152D-01-217	C2C; 14	C	2	C	14	C2
23152D-01-218	C3B; 12	C	3	B	12	C3
23152D-01-219	C3C; 11	C	3	C	11	C3
23152D-01-220	C4A; 11	C	4	A	11	C4
23152D-01-221	C4C; 12	C	4	C	12	C4
23152D-01-222	C9A; 14	C	9	A	14	C9
23152D-01-223	C9B; 1	C	9	B	1	C9
23152D-01-224	C11B; 7	C	11	B	7	C11
23152D-01-225	C11C; 10	C	11	C	10	C11
23152D-01-226	C12A; 8	C	12	A	8	C12
23152D-01-227	C12B; 7	C	12	B	7	C12
23152D-01-228	C13A; 13	C	13	A	13	C13
23152D-01-229	C13C; 14	C	13	C	14	C13
23152D-01-230	C14A; 15	C	14	A	15	C14
23152D-01-231	C14C; 7	C	14	C	7	C14
23152D-01-232	C16B; 12	C	16	B	12	C16
23152D-01-233	C16C; 13	C	16	C	13	C16
23152D-01-234	C17B; 12	C	17	B	12	C17
23152D-01-235	C17C; 6	C	17	C	6	C17
23152D-01-236	C18A; 14	C	18	A	14	C18
23152D-01-237	C18B; 7	C	18	B	7	C18
23152D-01-238	C19A; 9	C	19	A	9	C19
23152D-01-239	C19B; 10	C	19	B	10	C19
23152D-01-240	C20A; 13	C	20	A	13	C20
23152D-01-241	C20C; 15	C	20	C	15	C20
23152D-01-242	C21A; 6	C	21	A	6	C21
23152D-01-243	C21B; 7	C	21	B	7	C21
23152D-01-244	C24B; 13	C	24	B	13	C24
23152D-01-245	C24C; 14	C	24	C	14	C24
23152D-01-246	C25A; 12	C	25	A	12	C25
23152D-01-247	C25B; 13	C	25	B	13	C25
23152D-01-248	C26B; 12	C	26	B	12	C26
23152D-01-249	C26C; 15	C	26	C	15	C26
23152D-01-250	C27B; 11	C	27	B	11	C27
23152D-01-251	C27C; 12	C	27	C	12	C27
23152D-01-252	C28B; 12	C	28	B	12	C28
23152D-01-253	C28C; 10	C	28	C	10	C28
