clone,replicate,treatment,survival_day0,survival_day7,survival_day14,survival_day21,neonates_day0,neonates_day7,neonates_day14,neonates_day21,neonates_total,neonates_divided_allmoms,Fbroods,Tbroods
Clone 1,A,Chlorella,15,15,15,15,0,0,26,28,54,3.6,9,5
Clone 1,B,Chlorella,15,13,13,11,0,0,49,37,86,5.733333333,9,4
Clone 1,C,Chlorella,15,15,15,14,0,0,48,26,74,4.933333333,9,5
Clone 2,A,Chlorella,15,14,13,12,0,0,41,30,71,4.733333333,9,5
Clone 2,B,Chlorella,15,13,13,11,0,0,64,41,105,7,9,5
Clone 2,C,Chlorella,15,14,14,13,0,0,53,57,110,7.333333333,9,5
Clone 3,A,Chlorella,15,12,12,10,0,0,43,51,94,6.266666667,9,5
Clone 3,B,Chlorella,15,13,13,11,0,0,49,37,86,5.733333333,9,5
Clone 3,C,Chlorella,15,12,12,11,0,0,33,51,84,5.6,10,5
Clone 4,A,Chlorella,15,15,15,13,0,0,34,15,49,3.266666667,9,4
Clone 4,B,Chlorella,15,13,12,12,0,0,38,27,65,4.333333333,9,4
Clone 4,C,Chlorella,15,13,13,11,0,0,29,26,55,3.666666667,9,3
Clone 9,A,Chlorella,15,14,14,12,0,0,40,25,65,4.333333333,10,4
Clone 9,B,Chlorella,15,15,15,10,0,0,36,19,55,3.666666667,10,4
Clone 9,C,Chlorella,15,14,13,12,0,0,41,45,86,5.733333333,14,3
Clone 11,A,Chlorella,15,12,12,11,0,0,61,38,99,6.6,10,5
Clone 11,B,Chlorella,15,14,14,14,0,0,41,10,51,3.4,10,4
Clone 11,C,Chlorella,15,12,12,12,0,0,30,29,59,3.933333333,14,4
Clone 12,A,Chlorella,15,13,13,11,0,0,29,14,43,2.866666667,9,5
Clone 12,B,Chlorella,15,12,11,11,0,0,9,6,15,1,9,4
Clone 12,C,Chlorella,15,13,13,12,0,0,12,1,13,0.866666667,9,3
Clone 13,A,Chlorella,15,14,13,13,0,0,69,61,130,8.666666667,9,5
Clone 13,B,Chlorella,15,12,12,11,0,0,58,63,121,8.066666667,9,5
Clone 13,C,Chlorella,15,15,14,12,0,0,45,33,78,5.2,9,5
Clone 14,A,Chlorella,15,14,13,12,0,0,16,1,17,1.133333333,9,3
Clone 14,B,Chlorella,15,12,12,10,0,0,19,4,23,1.533333333,9,5
Clone 14,C,Chlorella,15,14,14,11,0,0,18,7,25,1.666666667,9,5
Clone 16,A,Chlorella,15,14,12,12,0,0,34,43,77,5.133333333,10,5
Clone 16,B,Chlorella,15,14,14,13,0,0,31,34,65,4.333333333,10,5
Clone 16,C,Chlorella,15,14,13,12,0,0,9,64,73,4.866666667,9,5
Clone 17,A,Chlorella,15,14,13,13,0,0,39,64,103,6.866666667,9,5
Clone 17,B,Chlorella,15,15,14,14,0,0,18,14,32,2.133333333,9,4
Clone 17,C,Chlorella,15,13,13,12,0,0,48,27,75,5,9,4
Clone 18,A,Chlorella,15,14,14,14,0,0,41,27,68,4.533333333,10,3
Clone 18,B,Chlorella,15,15,15,13,0,0,57,14,71,4.733333333,10,4
Clone 18,C,Chlorella,15,15,15,15,0,0,17,27,44,2.933333333,9,3
Clone 19,A,Chlorella,15,13,13,13,0,0,51,25,76,5.066666667,9,4
Clone 19,B,Chlorella,15,12,12,11,0,0,33,32,65,4.333333333,9,5
Clone 19,C,Chlorella,15,12,12,12,0,0,26,18,44,2.933333333,9,3
Clone 20,A,Chlorella,15,13,13,13,0,0,34,14,48,3.2,9,4
Clone 20,B,Chlorella,15,13,13,10,0,0,22,13,35,2.333333333,10,4
Clone 20,C,Chlorella,15,14,14,13,0,0,33,39,72,4.8,10,5
Clone 21,A,Chlorella,15,13,13,11,0,0,29,54,83,5.533333333,9,5
Clone 21,B,Chlorella,15,12,12,12,0,0,39,44,83,5.533333333,9,4
Clone 21,C,Chlorella,15,14,14,14,0,0,41,35,76,5.066666667,9,3
Clone 24,A,Chlorella,15,14,13,13,0,0,32,73,105,7,14,4
Clone 24,B,Chlorella,15,13,13,13,0,0,60,43,103,6.866666667,9,4
Clone 24,C,Chlorella,15,14,14,14,0,0,47,47,94,6.266666667,9,5
Clone 25,A,Chlorella,15,15,14,14,0,0,30,50,80,5.333333333,9,5
Clone 25,B,Chlorella,15,14,14,14,0,0,46,52,98,6.533333333,9,5
Clone 25,C,Chlorella,15,13,13,13,0,0,61,47,108,7.2,9,5
Clone 26,A,Chlorella,15,15,15,14,0,0,14,48,62,4.133333333,9,5
Clone 26,B,Chlorella,15,13,13,13,0,0,32,42,74,4.933333333,9,5
Clone 26,C,Chlorella,15,13,13,10,0,0,44,24,68,4.533333333,10,5
Clone 27,A,Chlorella,15,13,13,12,0,0,65,48,113,7.533333333,10,5
Clone 27,B,Chlorella,15,14,10,9,0,0,61,115,176,11.73333333,9,5
Clone 27,C,Chlorella,15,14,11,9,0,0,70,75,145,9.666666667,10,5
Clone 28,A,Chlorella,15,13,13,12,0,0,10,13,23,1.533333333,9,4
Clone 28,B,Chlorella,15,15,15,15,0,0,7,8,15,1,11,3
Clone 28,C,Chlorella,15,14,14,13,0,0,3,17,20,1.333333333,9,4
Clone 1,A,3:1toxic,15,13,13,13,0,0,28,15,43,2.866666667,11,5
Clone 1,B,3:1toxic,15,13,13,13,0,0,14,18,32,2.133333333,11,5
Clone 1,C,3:1toxic,15,12,9,9,0,0,11,41,52,3.466666667,11,5
Clone 2,A,3:1toxic,15,12,12,9,0,0,27,7,34,2.266666667,11,4
Clone 2,B,3:1toxic,15,13,12,8,0,0,12,0,12,0.8,11,2
Clone 2,C,3:1toxic,15,14,14,14,0,0,15,5,20,1.333333333,11,5
Clone 3,A,3:1toxic,15,10,8,7,0,0,5,29,34,2.266666667,9,5
Clone 3,B,3:1toxic,15,12,12,12,0,0,16,42,58,3.866666667,9,6
Clone 3,C,3:1toxic,15,11,11,11,0,0,25,28,53,3.533333333,9,5
Clone 4,A,3:1toxic,15,13,13,11,0,0,2,14,16,1.066666667,13,4
Clone 4,B,3:1toxic,15,10,10,9,0,0,2,16,18,1.2,11,4
Clone 4,C,3:1toxic,15,12,12,12,0,0,3,19,22,1.466666667,13,4
Clone 9,A,3:1toxic,15,13,14,14,0,0,27,39,66,4.4,11,5
Clone 9,B,3:1toxic,15,12,3,1,0,0,2,8,10,0.666666667,13,3
Clone 9,C,3:1toxic,15,14,3,0,0,0,9,4,13,0.866666667,11,2
Clone 11,A,3:1toxic,15,6,5,5,0,0,22,25,47,3.133333333,9,6
Clone 11,B,3:1toxic,15,7,7,7,0,0,27,65,92,6.133333333,11,5
Clone 11,C,3:1toxic,15,10,10,10,0,0,20,49,69,4.6,11,4
Clone 12,A,3:1toxic,15,9,8,8,0,0,37,51,88,5.866666667,9,6
Clone 12,B,3:1toxic,15,10,9,7,0,0,2,34,36,2.4,13,3
Clone 12,C,3:1toxic,15,3,2,0,0,0,18,0,18,1.2,9,3
