id,Clone,Treatment,group,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
1,1,C,1_C,-0.152994683,0.006578342,0.003923581,-0.040504622,-0.132542741,-0.069815315,0.076758898,0.142440808,-0.015063321,-0.044486732,0.153418364,-0.047319201,0.013574914,-0.01253663,-0.030705291,0.053379094,-0.003712357,-0.065347796,0.026393948,-0.057105479,-0.004824293,0.004697086,0.009290077,-0.008058438,0.027058874,0.010016147,0.021565955,-0.027838693,0.00645277,-0.019705295,-0.010831499,-0.044100392,0.022404372,0.006869269,0.017133769
2,11,C,11_C,0.04967215,-0.050918898,-0.04647021,-0.011011064,-0.10224674,-0.011399158,0.009117148,-0.009595126,-0.005700441,0.106715159,0.069161213,0.03757827,-0.002180108,-0.098543439,-0.04794969,0.076049202,-0.086645699,0.035995525,0.019319376,-0.075911664,-0.03009789,0.024415087,0.012878192,0.032734605,-0.088482339,-0.012228234,-0.043589601,0.037379919,-0.029802518,0.000230881,0.050962714,0.013337269,0.01968892,-0.00369176,-0.003317927
3,12,C,12_C,-0.181069585,0.019941901,-0.026893693,0.02142356,-0.0016857,0.103922347,-0.053461662,-0.011126417,-0.022298999,0.12005554,-0.070755143,-0.045758894,-0.095833574,0.018648916,-0.058210901,-0.020203764,0.009068826,-0.031926076,-0.033136885,-0.093811324,-0.008268692,-0.047958651,0.015325568,-0.00834662,0.025596056,0.101016126,0.047535904,0.000873111,-0.014253894,-0.017260667,-0.018162264,0.008760012,0.009062596,0.020581211,-0.00990098
4,13,C,13_C,-0.046151542,0.256392883,-0.027154487,0.020244493,0.01335569,0.007728604,-0.039186294,0.051074443,-0.006687498,0.010591976,-0.048659505,-0.061360869,0.088773036,-0.046688459,0.044886656,0.077993235,0.05315372,-0.023730889,-0.034642874,-0.055401582,-0.018846892,0.002849349,-0.004676837,0.015291472,-0.019873071,0.049434873,-0.006004744,-0.029280234,0.036369606,0.004713232,0.047490181,-0.012421864,-0.059883366,-0.005441927,0.001188843
5,14,C,14_C,0.144654122,-0.206287435,-0.085293188,0.036591927,-0.09587288,-0.126326399,-0.0648378,0.058326229,-0.106423988,0.043212735,0.041779273,0.00232248,0.022178204,0.01857331,-0.003657272,0.078779489,0.069226534,0.074597175,-0.039253497,0.026339757,0.020134472,0.006873076,-0.0595189,0.024867949,0.011513123,0.004683586,0.016921062,-0.00373661,-0.007759025,0.011042207,-0.030112474,0.048055938,-0.00980667,0.026608754,0.008744948
6,16,C,16_C,-0.057700078,-0.065709566,-0.14250066,0.183374103,0.168250126,-0.042783755,0.071938078,0.090465228,-0.138247943,0.011950008,-0.081268616,0.001112048,-0.048805108,-0.137881782,-0.000735113,-0.056275308,-0.0385956,-0.012439161,0.007554035,0.018626819,0.028266461,0.060694502,0.011190483,-0.022520694,-0.049591582,0.033755834,0.002044718,-0.028867009,-0.00735194,0.044822148,-0.030098741,-0.007769439,0.003895659,-0.011148738,0.008151686
7,17,C,17_C,-0.113683235,0.009505132,0.043399324,-0.020184227,0.018537919,0.074883337,0.066720378,0.092453737,-0.086007541,-0.050540738,-0.092462521,0.010913266,-0.129516988,0.078630575,0.010750148,0.115926365,-0.021615633,-0.013974804,0.094041986,0.024384443,0.041805077,0.003133113,-0.025256091,0.00127717,0.022723564,-0.050227057,0.044161158,0.012453058,-0.04860359,-0.0066318,0.015529293,0.000479529,-0.017509197,-0.011478616,-0.001892262
8,18,C,18_C,0.251942812,-0.216367496,0.092731224,-0.093476081,0.087307383,0.017046879,0.005971167,0.012379857,0.08837714,-0.114192464,-0.163071508,-0.036149281,0.068267492,-0.076719667,0.015847462,0.019217362,-0.008774976,0.031521782,0.011951739,-0.045339,0.006196998,-0.071993398,-0.039678891,0.070223596,-0.021726682,0.0048068,0.00755526,-0.046826262,-0.027375807,-0.013040758,0.002099217,-0.012164929,0.022039172,0.004674109,-0.000871845
9,19,C,19_C,-0.079101144,-0.027177683,-0.166579692,0.100674607,0.001176238,0.096567401,0.083085383,0.078833023,-0.0772755,0.093857813,0.004317835,0.022515228,0.045762086,-0.032535111,0.025544034,-0.031707588,0.069532764,0.055128039,0.005536915,0.045732212,0.00512535,-0.017643463,-0.026654264,0.027468216,0.04278704,-0.046763877,-0.06019671,-0.017196226,0.03842075,-0.02659319,0.008669055,-0.016025142,0.006712582,0.005793216,-0.013598696
10,2,C,2_C,0.228413697,0.176944975,0.17165395,0.024067378,0.066884145,-0.153211452,-0.12894181,-0.02064485,0.032760642,0.005050008,0.006211971,-0.002643437,-0.029935287,-0.003458507,-0.103788369,0.024106502,0.049782226,0.083804719,0.033070859,-0.015580592,0.024165655,0.017697373,0.034560132,-0.007396375,0.02806981,-0.007598818,-0.017471779,-0.004811103,-0.022781579,0.019937726,-0.022651302,0.001449024,-0.018599134,-0.010217248,-0.000613354
11,20,C,20_C,-0.341571981,-0.007336424,0.011723692,0.018783795,0.102631588,-0.07950733,0.027352152,-0.075406668,0.187061159,0.071245531,-0.056490876,-0.039075279,0.034103888,0.014317384,0.020371968,-0.038994887,0.040243987,-0.020712055,0.010852791,0.02863661,0.022822723,0.085114111,-0.04465413,0.047098671,0.026261297,0.007495584,-0.030279266,0.007943422,-0.03312595,-0.029853902,-0.00465524,0.002328038,0.004396189,0.003439708,0.012646286
12,21,C,21_C,0.08866001,-0.129114777,-0.056662644,0.069322331,0.002169207,0.032374149,-0.179357256,0.009599211,0.017940521,-0.000157624,0.026198009,0.014620807,-0.027491551,0.109498485,0.018368542,0.037774631,-0.012164435,-0.026294111,-0.107989844,0.016542427,0.023371424,0.039916681,-0.023795086,-0.062613495,0.015118889,-0.000458196,-0.031200281,-0.078608193,-0.031635677,0.001736417,0.039458784,-0.025960701,0.02202536,-0.011894643,-0.002585081
13,24,C,24_C,0.138155505,-0.044474728,-0.013099843,0.234636668,-0.061977522,0.089854828,0.086724078,-0.01039804,0.108255762,0.026367663,0.053656177,-0.023121316,0.093692774,-0.055151458,-0.039278526,-0.006006966,-0.042058623,-0.027590488,-0.017897463,0.0065526,-0.019102111,-0.031324108,-0.035781232,-0.031651694,0.093647607,0.013590647,0.034465116,0.029112507,-0.039590445,0.029627603,0.002978038,0.024993717,-0.005482132,-0.018673531,-0.007139404
14,25,C,25_C,-0.172868622,-0.048291195,-0.061047307,-0.023584775,-0.028582634,0.10090826,-0.029826609,-0.141796311,0.014752343,-0.024046689,-0.0120574,0.039104106,-0.027385484,0.022651894,0.120937722,0.092962742,0.050370154,-0.013695522,0.028401159,0.021896623,-0.037394116,-0.03490305,0.028199971,0.01465582,0.00586576,0.035392847,-0.039839579,0.027258181,0.001420343,0.085693729,-0.003805086,0.0044054,0.014344921,0.002055995,0.009539721
15,26,C,26_C,0.151206439,0.188676341,-0.076020502,0.068176926,0.059170833,-0.007275058,-0.049113097,0.045825784,-0.01409338,-0.045933485,-0.023242472,0.006876898,-0.04632941,0.073532009,-0.033787164,-0.054164651,0.025906487,0.003255688,0.022742658,0.01318161,-0.034912193,-0.006839109,0.067269197,0.00827224,-0.014439439,0.050741084,-0.048175069,0.01233406,-0.001251774,-0.035174658,0.014934201,0.033966329,0.024851109,-0.005212849,0.006964517
